Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2191,0,28,36.23105214102765,20.492957999522332,356.95702100019844,8688.0,13.0166574990865,0.0,28,34,42,47,63,75,93,98,230,360,360
GET,/basket.html,2150,0,28,33.50591016092949,20.875116999377497,149.62711199950718,23020.0,12.773077874502956,0.0,28,32,35,39,49,62,89,110,140,150,150
DELETE,/cart,2152,0,100.0,246.86833689913794,27.380167999581317,2021.220276999884,0.0,12.784959807409471,0.0,100,200,310,420,680,980,1200,1500,1800,2000,2000
POST,/cart,2152,2152,25,28.759284687718978,19.611456998973154,417.30764499880024,52.0,12.784959807409471,12.784959807409471,25,28,30,31,38,50,63,76,110,420,420
GET,/catalogue,2191,0,40,52.07629389411794,25.594746999558993,342.05365600064397,2795.0,13.0166574990865,0.0,40,49,59,65,88,110,150,240,320,340,340
GET,/category.html,2154,0,26,33.13405948096009,20.84518400079105,374.93861700022535,11518.0,12.796841740315985,0.0,26,30,35,39,53,70,86,110,140,370,370
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,234,0,27,33.09427640600076,21.288900999934413,129.473984001379,10364.0,1.3901861500621822,0.0,27,31,35,39,52,74,85,93,130,130,130
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,219,0,26,32.32110126025283,21.024051999120275,125.82723500054271,10364.0,1.3010716532633244,0.0,26,31,35,40,51,60,85,91,130,130,130
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,253,0,26,31.82567412245284,20.966643000065233,93.875778000438,10364.0,1.5030645126740687,0.0,26,30,35,40,50,64,69,72,94,94,94
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,234,0,27,32.146199431697156,20.85060799981875,108.0754260001413,10364.0,1.3901861500621822,0.0,27,30,34,37,49,68,83,100,110,110,110
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,246,0,27,31.28615333332526,21.450838999953703,129.26591299947177,10364.0,1.4614777475012686,0.0,27,30,33,36,49,56,74,79,130,130,130
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,248,0,26,33.36800243553831,20.448706998649868,131.7710570001509,10364.0,1.4733596804077829,0.0,27,31,36,41,54,76,89,99,130,130,130
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,249,0,27,33.6166301446161,20.979654000257142,133.61249699846667,10364.0,1.4793006468610401,0.0,27,30,35,40,57,70,88,92,130,130,130
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,239,0,27,33.48970613807529,20.851569999649655,160.22244799933105,10364.0,1.4198909823284682,0.0,27,31,35,39,53,68,94,99,160,160,160
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,232,0,27,34.029014956880424,20.8914230006485,131.01599400033592,10364.0,1.3783042171556679,0.0,28,32,39,43,60,71,79,86,130,130,130
GET,/login,2154,0,200.0,383.9738821114335,38.383184000849724,2629.7171549995255,13.0,12.796841740315985,0.0,200,390,550,690,980,1200,1500,1800,2200,2600,2600
POST,/orders,2116,0,1600.0,1630.8273467083955,60.17818899999838,5458.573613999761,535.9990548204158,12.571085015092212,0.0,1600,2200,2500,2700,3100,3700,4200,4500,5000,5500,5500
,Aggregated,19414,2152,37,271.8959706413385,19.611456998973154,5458.573613999761,6338.7329246935205,115.33792272353507,12.784959807409471,37,61,100,170,800,1800,2700,3200,4500,5300,5500
