Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1613474082,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1613474083,5,,Aggregated,0.000000,0.000000,27,33,50,55,76,88,150,150,150,150,150,39,4,27,40.21911600009331,23.312575000090874,150.27632100100163,6421.076923076923
1613474084,10,,Aggregated,0.000000,0.000000,27,40,46,55,81,88,150,150,150,150,150,85,9,27,41.94670696466774,22.217200999875786,150.27632100100163,6304.564705882353
1613474085,15,,Aggregated,37.000000,4.000000,29,39,46,54,81,120,140,150,150,150,150,131,14,29,41.90662784740128,22.217200999875786,150.27632100100163,6344.900763358779
1613474086,20,,Aggregated,41.000000,4.500000,29,39,45,52,81,96,130,150,150,150,150,176,19,28,40.800686193217025,21.242655000605737,150.27632100100163,6341.545454545455
1613474087,25,,Aggregated,42.333333,4.666667,28,38,45,51,81,95,130,140,150,150,150,221,24,28,40.26576766062225,21.242655000605737,150.27632100100163,6339.556561085973
1613474088,30,,Aggregated,43.000000,4.750000,29,38,46,52,81,96,130,150,160,160,160,288,32,29,40.68905012147499,20.78686799904972,155.87783999944804,6288.041666666667
1613474089,35,,Aggregated,43.200000,4.800000,30,40,48,54,88,120,160,210,260,260,260,371,40,30,44.57302993526323,20.78686799904972,260.04794599975867,6350.595687331536
1613474090,40,,Aggregated,46.333333,5.000000,30,41,50,58,95,130,220,290,490,490,490,463,51,30,49.4254980474552,20.78686799904972,486.7083570006798,6369.365010799136
1613474091,45,,Aggregated,52.000000,5.714286,30,42,51,63,100,190,260,400,610,610,610,557,61,30,54.29321946852841,20.78686799904972,613.0784289998701,6345.172351885099
1613474092,50,,Aggregated,56.750000,6.250000,30,42,51,63,100,170,250,350,610,610,610,650,72,30,53.7858756784268,20.78686799904972,613.0784289998701,6349.527692307693
1613474093,55,,Aggregated,60.666667,6.666667,30,42,51,64,110,200,260,340,610,610,610,740,81,30,54.671740416189415,20.631227000194485,613.0784289998701,6327.901351351351
1613474094,60,,Aggregated,63.700000,7.000000,30,41,51,64,110,200,260,340,610,610,610,855,94,30,54.75943218359682,20.631227000194485,613.0784289998701,6342.632748538012
1613474095,65,,Aggregated,68.700000,7.600000,30,42,52,66,110,200,290,340,610,610,610,991,110,30,55.51424603125565,20.631227000194485,613.0784289998701,6377.424823410696
1613474096,70,,Aggregated,76.200000,8.400000,30,42,54,70,120,220,340,410,610,620,620,1116,122,30,59.41852090410721,20.631227000194485,623.8361699997768,6337.518817204301
1613474097,75,,Aggregated,84.200000,9.400000,31,42,55,72,130,220,360,450,610,620,620,1266,141,30,61.342974048949756,20.631227000194485,623.8361699997768,6369.769352290679
1613474098,80,,Aggregated,92.200000,10.200000,30,42,55,72,130,230,410,500,780,810,810,1386,154,30,64.08540660819884,20.631227000194485,805.2252299985412,6383.972582972583
1613474099,85,,Aggregated,103.400000,11.500000,31,43,58,76,140,260,470,620,1000,1600,1600,1532,170,31,69.59461434724042,20.631227000194485,1553.4147460002714,6377.2056135770235
1613474100,90,,Aggregated,108.500000,12.100000,31,43,58,76,140,280,580,790,1500,1600,1600,1674,187,31,75.22538199938269,20.631227000194485,1553.4147460002714,6394.091397849463
1613474101,95,,Aggregated,114.900000,12.900000,31,43,59,80,150,310,750,1000,1700,1900,1900,1826,201,31,83.49685089757924,20.631227000194485,1924.2229259998567,6368.234939759036
1613474102,100,,Aggregated,119.400000,13.500000,31,43,59,81,160,330,780,1100,1800,1900,1900,1973,220,31,85.77401760768826,20.492957999522332,1924.2229259998567,6410.3846933603645
1613474103,100,,Aggregated,126.800000,14.100000,31,43,60,81,160,350,830,1100,2300,2700,2700,2121,240,31,92.15567642336741,20.492957999522332,2705.9269119999954,6439.413012729844
1613474104,100,,Aggregated,132.900000,15.000000,31,43,61,83,190,410,1000,1700,2700,2700,2700,2227,250,31,106.23569744541714,20.492957999522332,2748.353977000079,6419.2038616973505
1613474105,100,,Aggregated,138.000000,15.700000,31,43,60,83,190,430,1100,2000,2700,3000,3000,2332,261,31,111.98579349740449,20.492957999522332,3008.369778999622,6422.677958833619
1613474106,100,,Aggregated,137.100000,15.700000,31,44,63,85,200,490,1600,2300,3000,3800,3800,2493,279,31,127.8868967236045,20.492957999522332,3813.8573590003944,6414.975531488167
1613474107,100,,Aggregated,134.200000,15.200000,31,44,64,87,200,500,1900,2600,3300,3800,3800,2577,290,31,135.34577044895448,20.492957999522332,3813.8573590003944,6417.90842064416
1613474108,100,,Aggregated,137.700000,15.600000,31,44,65,89,220,730,2100,2600,3700,4600,4600,2661,297,31,155.48952767002865,20.492957999522332,4568.201522000891,6369.651634723788
1613474109,100,,Aggregated,131.700000,15.000000,31,44,67,90,220,800,2200,2700,3700,4600,4600,2799,312,31,160.13082193389164,20.492957999522332,4568.201522000891,6361.5723472668815
1613474110,100,,Aggregated,128.300000,14.600000,31,44,68,92,230,840,2100,2600,3700,4600,4600,2910,324,31,161.3542701329752,20.492957999522332,4568.201522000891,6343.727835051546
1613474111,100,,Aggregated,127.100000,14.200000,31,44,68,91,230,790,2100,2600,3600,4600,4600,3045,338,31,157.63239194251435,20.492957999522332,4568.201522000891,6349.8252873563215
1613474112,100,,Aggregated,124.000000,13.700000,31,44,68,91,240,770,2000,2600,3600,4600,4600,3146,348,31,156.3399439879063,20.492957999522332,4568.201522000891,6334.746344564526
1613474113,100,,Aggregated,121.000000,13.500000,31,44,68,91,230,720,2000,2600,3600,4600,4600,3308,365,31,152.40741082979656,20.492957999522332,4568.201522000891,6345.342805320435
1613474114,100,,Aggregated,114.100000,12.400000,31,45,68,93,240,690,2000,2600,3600,4600,4600,3488,386,31,151.051975548442,20.492957999522332,4568.201522000891,6373.758027522936
1613474115,100,,Aggregated,116.100000,12.600000,32,46,71,96,270,740,2000,2600,3600,4600,4600,3634,404,32,154.01420393944903,20.492957999522332,4568.201522000891,6348.28425976885
1613474116,100,,Aggregated,124.000000,13.000000,32,47,71,96,260,730,2000,2600,3600,4600,4600,3795,426,32,153.31907189195127,20.492957999522332,4568.201522000891,6400.023451910409
1613474117,100,,Aggregated,127.200000,13.600000,32,47,71,96,260,740,2000,2600,3600,4600,4600,3935,443,32,154.40256715525996,20.492957999522332,4568.201522000891,6411.012706480305
1613474118,100,,Aggregated,130.000000,14.600000,32,47,71,96,270,810,2200,2600,3600,4600,4600,4039,453,32,163.02686197201268,20.492957999522332,4568.201522000891,6393.920772468433
1613474119,100,,Aggregated,133.200000,14.800000,32,47,71,98,290,910,2300,2600,3800,4600,4600,4108,459,32,173.36962672856868,20.492957999522332,4568.201522000891,6371.699610516066
1613474120,100,,Aggregated,136.600000,15.200000,32,47,73,100,310,1000,2400,2800,4000,4600,4600,4235,470,32,184.1991772174624,20.492957999522332,4568.201522000891,6337.509799291617
1613474121,100,,Aggregated,130.400000,14.600000,32,47,73,100,310,990,2400,2700,4000,4600,4600,4329,481,32,182.09234005057723,20.492957999522332,4568.201522000891,6331.777315777315
1613474122,100,,Aggregated,131.200000,14.200000,32,47,72,98,300,970,2400,2700,4000,4600,4600,4395,488,32,179.99012519179695,20.492957999522332,4568.201522000891,6332.569738339022
1613474123,100,,Aggregated,129.600000,14.400000,32,47,71,96,290,940,2400,2700,4000,4600,4600,4534,504,32,176.09669259063426,20.492957999522332,4568.201522000891,6343.5187472430525
1613474124,100,,Aggregated,126.800000,14.200000,32,47,71,96,280,860,2300,2700,4000,4600,4600,4724,523,32,172.3476726877484,20.492957999522332,4568.201522000891,6343.095681625741
1613474125,100,,Aggregated,122.800000,13.400000,32,47,71,98,290,840,2300,2700,4000,4600,4600,4895,535,32,171.72038254074346,20.492957999522332,4568.201522000891,6352.741368743616
1613474126,100,,Aggregated,119.700000,13.400000,32,47,72,100,310,900,2200,2700,3900,4600,4600,5066,558,32,173.82626757085274,20.492957999522332,4568.201522000891,6368.214172917489
1613474127,100,,Aggregated,125.300000,13.500000,32,47,73,100,330,900,2300,2600,3900,4600,4600,5205,581,32,175.40481486492254,20.492957999522332,4568.201522000891,6385.258981748319
1613474128,100,,Aggregated,122.100000,12.500000,32,47,73,100,340,960,2300,2700,3900,4600,4600,5293,593,32,181.29105041732828,20.492957999522332,4568.201522000891,6381.923861704137
1613474129,100,,Aggregated,124.600000,13.600000,32,47,73,100,350,1000,2400,2800,4100,4600,4600,5422,607,32,187.86916433381268,20.492957999522332,4568.201522000891,6371.873662855035
1613474130,100,,Aggregated,124.100000,14.000000,32,48,76,110,390,1200,2500,2900,4100,4600,4600,5526,615,32,199.01394164295084,20.492957999522332,4568.201522000891,6343.509591024249
1613474131,100,,Aggregated,130.800000,14.700000,32,48,76,110,390,1200,2500,2900,4100,4600,4600,5600,622,32,199.11150139516926,20.492957999522332,4568.201522000891,6333.434285714286
1613474132,100,,Aggregated,127.600000,14.700000,32,47,76,110,390,1200,2500,2900,4100,4600,4600,5632,626,32,198.2144412608217,20.492957999522332,4568.201522000891,6327.699751420455
1613474133,100,,Aggregated,124.700000,13.800000,32,47,74,100,370,1200,2400,2900,4100,4600,4600,5768,638,32,194.71564749375054,20.492957999522332,4568.201522000891,6335.491678224688
1613474134,100,,Aggregated,123.400000,13.700000,32,48,74,100,350,1100,2400,2900,4100,4600,4600,5930,659,32,191.90692262241848,20.492957999522332,4568.201522000891,6348.465430016863
1613474135,100,,Aggregated,121.200000,13.600000,32,48,74,100,340,1100,2400,2900,4000,4600,4600,6125,678,32,188.49959770219186,20.448706998649868,4568.201522000891,6359.782204081633
1613474136,100,,Aggregated,123.000000,13.900000,32,48,74,110,340,1000,2400,2800,4000,4600,4600,6303,698,32,188.2640723545831,20.448706998649868,4568.201522000891,6373.261621450103
1613474137,100,,Aggregated,118.900000,13.700000,32,48,76,110,360,1100,2400,2900,4000,4600,4600,6398,711,32,192.715444052037,20.448706998649868,4568.201522000891,6378.958737105346
1613474138,100,,Aggregated,124.200000,13.900000,32,48,76,110,370,1100,2400,2900,4000,4600,4600,6504,729,32,194.0058043231757,20.448706998649868,4568.201522000891,6390.49938499385
1613474139,100,,Aggregated,119.500000,12.900000,32,48,76,110,380,1200,2500,3000,4200,5000,5000,6600,739,32,201.43983746362744,20.448706998649868,5034.046491999106,6382.791666666667
1613474140,100,,Aggregated,121.300000,13.500000,32,48,79,110,430,1500,2600,3100,4800,5500,5500,6665,742,32,220.8715254594065,20.448706998649868,5458.573613999761,6346.206151537885
1613474141,100,,Aggregated,116.600000,13.300000,32,49,80,110,440,1500,2600,3100,4800,5500,5500,6767,752,32,223.36273783226542,20.448706998649868,5458.573613999761,6332.63395891828
1613474142,100,,Aggregated,116.700000,13.100000,32,49,80,110,430,1500,2600,3100,4800,5500,5500,6787,753,32,222.81643637453112,20.448706998649868,5458.573613999761,6330.914837188743
1613474143,100,,Aggregated,118.000000,13.100000,32,49,78,110,420,1500,2600,3100,4800,5500,5500,6867,763,32,220.8736470621723,20.448706998649868,5458.573613999761,6331.77748652978
1613474144,100,,Aggregated,115.900000,12.900000,32,48,78,110,410,1500,2600,3100,4800,5500,5500,6916,765,32,219.56266379871926,20.448706998649868,5458.573613999761,6330.460237131289
1613474145,100,,Aggregated,114.300000,12.700000,33,49,77,110,400,1400,2600,3100,4700,5500,5500,7146,785,33,215.82304483920234,20.448706998649868,5458.573613999761,6338.421914357683
1613474146,100,,Aggregated,98.500000,11.000000,33,49,78,110,440,1400,2600,3000,4700,5500,5500,7339,799,33,215.92747179301514,20.448706998649868,5458.573613999761,6352.243221147295
1613474147,100,,Aggregated,100.100000,10.300000,33,49,79,120,480,1400,2600,3000,4700,5500,5500,7527,836,33,219.94919486261972,20.448706998649868,5458.573613999761,6362.525043177893
1613474148,100,,Aggregated,101.800000,10.000000,33,49,79,110,480,1400,2600,3000,4700,5500,5500,7681,860,33,219.18359985313506,20.448706998649868,5458.573613999761,6388.286421038927
1613474149,100,,Aggregated,110.000000,11.400000,33,49,80,120,500,1500,2600,3000,4700,5500,5500,7711,863,33,224.93052931447667,20.448706998649868,5458.573613999761,6373.868499546103
